VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2006,2006,11020.4,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2007,2007,11048.5,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2008,2008,11077.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2009,2009,11107,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2010,2010,11121.3,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2011,2011,11104.9,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2012,2012,11045,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2013,2013,10965.2,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2014,2014,10892.4,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2015,2015,10820.9,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2016,2016,10776,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2017,2017,10754.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2018,2018,10732.9,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2019,2019,10721.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,GRC,Greece,2020,2020,10698.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2005,2005,10087.1,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2006,2006,10071.4,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2007,2007,10055.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2008,2008,10038.2,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2009,2009,10022.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2010,2010,10000,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2011,2011,9971.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2012,2012,9920.4,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2013,2013,9893.1,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2014,2014,9866.5,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2015,2015,9843,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2016,2016,9814,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2017,2017,9788,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2018,2018,9775.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2019,2019,9771.1,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,HUN,Hungary,2020,2020,9750.1,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,ISL,Iceland,2005,2005,296.7,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,ISL,Iceland,2006,2006,303.8,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,ISL,Iceland,2007,2007,311.6,,
DEMODOMP,"Total population, incl. France Metropolitan + D.O.M. (overseas departments)",EFFPEREF,Thousands of persons,ISL,Iceland,2008,2008,317.4,,
